customer_id,gender,age,city,signup_date,loyalty_member,age_group
C0001,Male,19,Liverpool,2023-10-17,Yes,Teenager
C0002,Male,65,Manchester,2022-08-17,Yes,Senior
C0003,Female,20,London,2023-08-28,Yes,"Young Adult"
C0004,Male,50,London,2022-08-12,Yes,Middle-Aged
C0005,Female,32,Nottingham,2023-10-28,No,Adult
C0006,Male,62,Sheffield,2022-01-07,No,Senior
C0007,Male,31,Bristol,2022-10-12,Yes,Adult
C0008,Female,24,Bristol,2022-04-05,No,"Young Adult"
C0009,Female,20,Nottingham,2023-09-11,Yes,"Young Adult"
C0010,Male,53,Liverpool,2023-01-23,No,Middle-Aged
C0011,Male,63,Manchester,2023-08-15,Yes,Senior
C0012,Male,36,Manchester,2023-11-09,Yes,Adult
C0013,Female,35,Nottingham,2022-04-14,No,Adult
C0014,Female,40,Leeds,2022-06-16,No,Middle-Aged
C0015,Male,56,Birmingham,2023-12-01,Yes,Middle-Aged
C0016,Female,42,Liverpool,2022-06-17,Yes,Middle-Aged
C0017,Male,32,London,2022-11-29,No,Adult
C0018,Female,22,Leeds,2023-02-15,No,"Young Adult"
C0019,Female,43,Nottingham,2022-08-06,Yes,Middle-Aged
C0020,Male,33,Liverpool,2022-09-29,No,Adult
C0021,Female,41,Leeds,2023-08-21,Yes,Middle-Aged
C0022,Female,23,London,2023-06-06,Yes,"Young Adult"
C0023,Male,61,Sheffield,2022-06-06,Yes,Senior
C0024,Female,56,Nottingham,2023-01-30,No,Middle-Aged
C0025,Male,61,Manchester,2023-07-21,No,Senior
C0026,Female,25,Liverpool,2023-10-19,No,"Young Adult"
C0027,Female,18,Liverpool,2022-06-11,Yes,Teenager
C0028,Male,58,Liverpool,2023-06-04,Yes,Middle-Aged
C0029,Female,28,London,2022-06-06,No,"Young Adult"
C0030,Male,25,Bristol,2023-05-16,No,"Young Adult"
C0031,Male,33,Manchester,2022-09-03,Yes,Adult
C0032,Male,52,Birmingham,2023-05-13,Yes,Middle-Aged
C0033,Female,53,Birmingham,2023-11-07,No,Middle-Aged
C0034,Female,31,Leeds,2023-06-25,No,Adult
C0035,Female,46,Nottingham,2023-02-13,Yes,Middle-Aged
C0036,Male,22,Bristol,2022-09-11,Yes,"Young Adult"
C0037,Male,55,Leeds,2023-08-26,Yes,Middle-Aged
C0038,Male,32,Manchester,2022-03-14,Yes,Adult
C0039,Male,50,Leeds,2022-12-05,No,Middle-Aged
C0040,Female,31,Birmingham,2023-11-17,No,Adult
C0041,Female,44,Leeds,2022-09-06,Yes,Middle-Aged
C0042,Female,40,Sheffield,2022-04-10,No,Middle-Aged
C0043,Male,61,Manchester,2023-04-24,Yes,Senior
C0044,Female,24,Leeds,2023-02-17,Yes,"Young Adult"
C0045,Female,26,Sheffield,2022-07-14,Yes,"Young Adult"
C0046,Female,33,Manchester,2022-10-13,No,Adult
C0047,Male,21,London,2023-07-18,Yes,"Young Adult"
C0048,Male,44,Nottingham,2022-08-31,No,Middle-Aged
C0049,Female,21,Birmingham,2022-08-07,No,"Young Adult"
C0050,Female,34,Nottingham,2022-01-03,No,Adult
C0051,Female,27,Leeds,2023-03-10,No,"Young Adult"
C0052,Male,55,London,2022-08-11,No,Middle-Aged
C0053,Male,55,Nottingham,2022-02-28,Yes,Middle-Aged
C0054,Male,29,Manchester,2022-02-28,Yes,"Young Adult"
C0055,Male,43,Manchester,2023-11-23,Yes,Middle-Aged
C0056,Male,57,Manchester,2023-08-16,No,Middle-Aged
C0057,Female,34,Leeds,2023-11-05,No,Adult
C0058,Female,43,Birmingham,2022-09-02,No,Middle-Aged
C0059,Female,22,London,2023-04-14,No,"Young Adult"
C0060,Male,22,Leeds,2023-09-29,No,"Young Adult"
C0061,Female,22,Leeds,2022-05-16,No,"Young Adult"
C0062,Male,46,Liverpool,2022-10-19,Yes,Middle-Aged
C0063,Female,60,Manchester,2023-11-15,Yes,Senior
C0064,Male,24,Birmingham,2022-09-28,No,"Young Adult"
C0065,Male,63,Bristol,2022-10-16,Yes,Senior
C0066,Female,50,Nottingham,2023-10-12,No,Middle-Aged
C0067,Male,58,Sheffield,2022-02-22,No,Middle-Aged
C0068,Male,39,Birmingham,2022-02-15,No,Adult
C0069,Female,53,Sheffield,2022-06-15,Yes,Middle-Aged
C0070,Male,62,Birmingham,2022-04-25,Yes,Senior
C0071,Male,45,Birmingham,2023-01-14,Yes,Middle-Aged
C0072,Female,20,Bristol,2022-11-12,Yes,"Young Adult"
C0073,Male,60,Manchester,2023-11-30,No,Senior
C0074,Female,57,Birmingham,2023-07-28,Yes,Middle-Aged
C0075,Male,44,London,2022-06-16,Yes,Middle-Aged
C0076,Female,60,Leeds,2022-12-07,No,Senior
C0077,Male,42,London,2022-06-13,No,Middle-Aged
C0078,Male,47,Bristol,2022-08-16,No,Middle-Aged
C0079,Male,19,Leeds,2022-08-22,No,Teenager
C0080,Female,22,Liverpool,2022-12-03,No,"Young Adult"
C0081,Female,61,Bristol,2023-10-19,Yes,Senior
C0082,Female,29,Liverpool,2022-04-29,Yes,"Young Adult"
C0083,Female,40,Bristol,2022-04-22,No,Middle-Aged
C0084,Male,42,Leeds,2023-09-13,No,Middle-Aged
C0085,Female,18,Leeds,2022-02-15,No,Teenager
C0086,Male,60,Bristol,2023-03-18,No,Senior
C0087,Male,64,Liverpool,2023-11-11,No,Senior
C0088,Female,38,Sheffield,2023-11-14,No,Adult
C0089,Male,30,Sheffield,2023-07-22,No,Adult
C0090,Male,57,Liverpool,2023-11-25,No,Middle-Aged
C0091,Male,37,Liverpool,2023-07-16,Yes,Adult
C0092,Female,47,Nottingham,2023-03-17,No,Middle-Aged
C0093,Male,50,Nottingham,2023-11-23,Yes,Middle-Aged
C0094,Male,36,Bristol,2023-11-06,Yes,Adult
C0095,Female,32,Leeds,2022-08-29,Yes,Adult
C0096,Male,33,Nottingham,2022-01-26,Yes,Adult
C0097,Female,58,Leeds,2023-04-12,No,Middle-Aged
C0098,Female,33,Birmingham,2023-05-22,Yes,Adult
C0099,Female,32,Birmingham,2022-04-20,No,Adult
C0100,Male,25,Nottingham,2022-02-21,Yes,"Young Adult"
C0101,Female,46,Sheffield,2023-04-21,No,Middle-Aged
C0102,Female,46,Liverpool,2022-06-12,Yes,Middle-Aged
C0103,Female,51,Nottingham,2023-10-15,Yes,Middle-Aged
C0104,Female,22,Liverpool,2022-10-09,Yes,"Young Adult"
C0105,Female,38,Manchester,2022-10-06,Yes,Adult
C0106,Male,42,Birmingham,2022-06-04,Yes,Middle-Aged
C0107,Female,44,Bristol,2022-03-07,No,Middle-Aged
C0108,Male,31,Sheffield,2023-03-02,No,Adult
C0109,Male,54,Sheffield,2023-08-22,No,Middle-Aged
C0110,Female,37,Sheffield,2022-01-07,No,Adult
C0111,Male,49,Leeds,2023-07-06,No,Middle-Aged
C0112,Female,19,Sheffield,2023-03-23,No,Teenager
C0113,Female,64,Birmingham,2023-11-16,No,Senior
C0114,Male,43,London,2022-05-11,Yes,Middle-Aged
C0115,Female,26,Nottingham,2023-10-21,Yes,"Young Adult"
C0116,Female,42,Bristol,2022-02-21,Yes,Middle-Aged
C0117,Female,39,Sheffield,2023-04-11,No,Adult
C0118,Female,23,Nottingham,2023-03-08,Yes,"Young Adult"
C0119,Male,40,Leeds,2023-07-07,Yes,Middle-Aged
C0120,Male,19,Leeds,2023-10-30,Yes,Teenager
C0121,Male,33,Birmingham,2022-01-21,No,Adult
C0122,Male,54,Leeds,2023-11-17,No,Middle-Aged
C0123,Female,28,Manchester,2022-09-20,Yes,"Young Adult"
C0124,Male,55,London,2022-11-15,No,Middle-Aged
C0125,Female,43,Leeds,2023-08-13,Yes,Middle-Aged
C0126,Male,24,Liverpool,2023-08-30,Yes,"Young Adult"
C0127,Male,40,Sheffield,2023-08-03,No,Middle-Aged
C0128,Female,18,Sheffield,2022-03-12,No,Teenager
C0129,Female,41,Nottingham,2022-04-19,Yes,Middle-Aged
C0130,Male,64,Liverpool,2023-03-22,No,Senior
C0131,Female,64,Liverpool,2023-04-22,No,Senior
C0132,Male,35,Nottingham,2022-09-09,Yes,Adult
C0133,Female,39,London,2023-04-21,No,Adult
C0134,Male,49,Leeds,2022-11-29,No,Middle-Aged
C0135,Female,35,Liverpool,2022-09-22,Yes,Adult
C0136,Male,23,Leeds,2023-06-14,No,"Young Adult"
C0137,Male,62,Nottingham,2023-05-16,No,Senior
C0138,Male,23,Liverpool,2023-04-04,Yes,"Young Adult"
C0139,Male,37,Bristol,2023-02-19,No,Adult
C0140,Female,45,Bristol,2023-07-21,No,Middle-Aged
C0141,Female,37,Liverpool,2023-04-10,Yes,Adult
C0142,Male,38,Manchester,2022-05-04,Yes,Adult
C0143,Male,65,Nottingham,2022-07-16,No,Senior
C0144,Female,24,Leeds,2023-08-27,No,"Young Adult"
C0145,Female,29,Liverpool,2022-08-21,Yes,"Young Adult"
C0146,Male,35,London,2023-07-01,Yes,Adult
C0147,Female,62,Birmingham,2023-07-21,No,Senior
C0148,Male,54,Liverpool,2022-04-16,No,Middle-Aged
C0149,Female,39,Birmingham,2023-05-06,Yes,Adult
C0150,Female,25,Manchester,2022-09-16,No,"Young Adult"
C0151,Male,54,London,2023-05-19,Yes,Middle-Aged
C0152,Female,23,Leeds,2022-06-02,Yes,"Young Adult"
C0153,Female,56,Leeds,2023-07-26,No,Middle-Aged
C0154,Female,37,Sheffield,2023-04-07,No,Adult
C0155,Male,57,Manchester,2023-08-06,Yes,Middle-Aged
C0156,Male,34,Manchester,2023-10-03,Yes,Adult
C0157,Male,53,Manchester,2022-09-03,Yes,Middle-Aged
C0158,Female,46,Nottingham,2022-01-03,No,Middle-Aged
C0159,Male,36,Liverpool,2022-02-03,No,Adult
C0160,Male,34,Leeds,2022-03-14,No,Adult
C0161,Male,59,Birmingham,2022-04-28,No,Middle-Aged
C0162,Male,21,Birmingham,2022-05-26,No,"Young Adult"
C0163,Female,46,Manchester,2023-09-02,No,Middle-Aged
C0164,Female,35,Nottingham,2022-11-08,No,Adult
C0165,Male,45,Bristol,2022-03-24,No,Middle-Aged
C0166,Male,32,London,2022-01-27,No,Adult
C0167,Male,29,Nottingham,2023-08-14,No,"Young Adult"
C0168,Male,55,Sheffield,2022-10-12,No,Middle-Aged
C0169,Female,40,Sheffield,2022-04-04,No,Middle-Aged
C0170,Male,28,Bristol,2022-11-25,No,"Young Adult"
C0171,Female,60,Sheffield,2023-05-23,Yes,Senior
C0172,Male,38,Liverpool,2023-04-11,No,Adult
C0173,Female,50,London,2022-04-29,No,Middle-Aged
C0174,Male,30,Bristol,2023-02-28,No,Adult
C0175,Female,21,Leeds,2023-10-03,No,"Young Adult"
C0176,Male,36,Nottingham,2023-07-17,No,Adult
C0177,Male,58,Leeds,2022-05-05,Yes,Middle-Aged
C0178,Male,53,Sheffield,2022-11-15,Yes,Middle-Aged
C0179,Male,47,Manchester,2022-08-19,Yes,Middle-Aged
C0180,Female,50,Liverpool,2023-05-26,No,Middle-Aged
C0181,Female,33,Nottingham,2023-05-10,Yes,Adult
C0182,Male,56,Birmingham,2023-01-28,Yes,Middle-Aged
C0183,Female,39,Liverpool,2022-10-10,Yes,Adult
C0184,Female,55,Nottingham,2022-10-17,Yes,Middle-Aged
C0185,Female,40,Bristol,2023-04-03,No,Middle-Aged
C0186,Female,30,Leeds,2023-04-12,No,Adult
C0187,Female,20,Bristol,2022-08-28,No,"Young Adult"
C0188,Female,60,Birmingham,2023-01-26,No,Senior
C0189,Male,50,Bristol,2022-02-07,Yes,Middle-Aged
C0190,Male,51,Nottingham,2023-03-27,Yes,Middle-Aged
C0191,Female,59,Birmingham,2022-05-28,Yes,Middle-Aged
C0192,Female,39,Sheffield,2023-04-26,Yes,Adult
C0193,Female,38,Nottingham,2022-12-03,Yes,Adult
C0194,Male,33,Liverpool,2023-09-25,Yes,Adult
C0195,Female,24,Manchester,2022-04-03,No,"Young Adult"
C0196,Female,19,London,2022-06-20,No,Teenager
C0197,Female,40,Bristol,2022-02-27,No,Middle-Aged
C0198,Male,51,Sheffield,2022-05-30,Yes,Middle-Aged
C0199,Male,23,Sheffield,2022-06-24,Yes,"Young Adult"
C0200,Male,32,Nottingham,2023-05-25,No,Adult
C0201,Female,60,London,2023-04-16,No,Senior
C0202,Male,22,Nottingham,2022-10-22,No,"Young Adult"
C0203,Female,58,Sheffield,2023-08-25,No,Middle-Aged
C0204,Female,30,Sheffield,2023-04-13,No,Adult
C0205,Male,42,Bristol,2022-04-20,No,Middle-Aged
C0206,Male,60,Sheffield,2022-10-30,No,Senior
C0207,Male,56,Nottingham,2022-01-09,No,Middle-Aged
C0208,Female,32,Leeds,2022-08-24,No,Adult
C0209,Male,58,Manchester,2023-11-26,Yes,Middle-Aged
C0210,Female,20,Bristol,2022-11-13,Yes,"Young Adult"
C0211,Female,38,Sheffield,2022-04-03,Yes,Adult
C0212,Male,52,Bristol,2022-07-25,No,Middle-Aged
C0213,Female,48,Liverpool,2022-06-18,No,Middle-Aged
C0214,Female,22,Birmingham,2022-04-28,Yes,"Young Adult"
C0215,Female,53,Bristol,2023-11-24,Yes,Middle-Aged
C0216,Male,34,Manchester,2023-02-09,No,Adult
C0217,Female,55,Sheffield,2023-01-13,No,Middle-Aged
C0218,Male,48,London,2022-04-21,No,Middle-Aged
C0219,Male,59,Manchester,2023-09-17,No,Middle-Aged
C0220,Female,25,Birmingham,2022-11-06,Yes,"Young Adult"
C0221,Female,49,Manchester,2022-02-08,Yes,Middle-Aged
C0222,Male,42,Nottingham,2022-08-29,No,Middle-Aged
C0223,Female,55,Birmingham,2023-11-18,No,Middle-Aged
C0224,Male,49,Sheffield,2023-11-02,No,Middle-Aged
C0225,Female,31,Nottingham,2022-02-03,No,Adult
C0226,Female,24,Bristol,2022-08-30,No,"Young Adult"
C0227,Female,35,Leeds,2022-03-04,Yes,Adult
C0228,Male,60,Leeds,2023-04-11,Yes,Senior
C0229,Female,33,Birmingham,2022-02-21,Yes,Adult
C0230,Male,55,Leeds,2022-03-12,Yes,Middle-Aged
C0231,Male,56,London,2022-12-03,No,Middle-Aged
C0232,Male,52,Liverpool,2022-05-29,Yes,Middle-Aged
C0233,Male,26,London,2022-04-23,No,"Young Adult"
C0234,Female,19,Birmingham,2022-09-01,No,Teenager
C0235,Male,65,Sheffield,2022-02-23,Yes,Senior
C0236,Female,46,Bristol,2022-03-07,Yes,Middle-Aged
C0237,Male,57,London,2023-04-08,No,Middle-Aged
C0238,Male,21,Nottingham,2023-04-15,No,"Young Adult"
C0239,Male,49,Nottingham,2023-03-13,Yes,Middle-Aged
C0240,Female,56,Birmingham,2022-03-24,Yes,Middle-Aged
C0241,Female,57,Bristol,2022-05-10,No,Middle-Aged
C0242,Female,47,Sheffield,2023-09-04,Yes,Middle-Aged
C0243,Male,45,Nottingham,2022-04-28,Yes,Middle-Aged
C0244,Female,47,Sheffield,2023-02-28,No,Middle-Aged
C0245,Female,45,Bristol,2022-04-08,No,Middle-Aged
C0246,Male,61,Nottingham,2023-01-19,Yes,Senior
C0247,Male,23,Sheffield,2022-04-04,Yes,"Young Adult"
C0248,Male,53,London,2023-01-17,No,Middle-Aged
C0249,Male,44,Bristol,2023-11-18,No,Middle-Aged
C0250,Female,56,Liverpool,2022-02-22,No,Middle-Aged
C0251,Male,27,Nottingham,2022-04-17,Yes,"Young Adult"
C0252,Female,53,Bristol,2022-04-21,Yes,Middle-Aged
C0253,Male,45,London,2022-10-13,No,Middle-Aged
C0254,Male,35,Liverpool,2022-01-30,No,Adult
C0255,Male,29,Birmingham,2022-12-26,No,"Young Adult"
C0256,Male,65,London,2022-03-13,Yes,Senior
C0257,Male,42,Sheffield,2023-06-28,No,Middle-Aged
C0258,Male,41,Liverpool,2022-12-16,No,Middle-Aged
C0259,Male,21,Birmingham,2023-08-05,Yes,"Young Adult"
C0260,Male,61,Manchester,2023-09-25,No,Senior
C0261,Female,49,Nottingham,2023-03-30,No,Middle-Aged
C0262,Male,50,Manchester,2022-10-07,No,Middle-Aged
C0263,Male,36,Nottingham,2023-03-17,No,Adult
