product_id,product_name,category,price
P001,"Blender 1",Beauty,273
P002,"Perfume 2",Home,132
P003,"Water Bottle 3",Home,59
P004,"Smart Watch 4",Home,221
P005,"Perfume 5",Home,28
P006,"Vacuum Cleaner 6",Beauty,59
P007,"Laptop Stand 7",Home,245
P008,"Smart Watch 8",Electronics,93
P009,"USB Cable 9",Clothing,157
P010,"Yoga Mat 10",Home,48
P011,"Yoga Mat 11",Home,259
P012,"Wireless Mouse 12",Electronics,185
P013,"Perfume 13",Clothing,201
P014,"Jeans 14",Clothing,86
P015,"Running Shoes 15",Sports,62
P016,"Hair Dryer 16",Electronics,109
P017,"USB Cable 17",Clothing,183
P018,"Bluetooth Speaker 18",Sports,228
P019,"Coffee Maker 19",Sports,79
P020,"Blender 20",Clothing,71
P021,"Jeans 21",Electronics,196
P022,"Keyboard 22",Electronics,59
P023,"Jacket 23",Sports,97
P024,"Face Cream 24",Clothing,120
P025,"Jacket 25",Sports,86
P026,"Hair Dryer 26",Sports,13
P027,"Blender 27",Sports,207
P028,"Hair Dryer 28",Electronics,38
P029,"Face Cream 29",Home,287
P030,"Coffee Maker 30",Beauty,276
P031,"Yoga Mat 31",Home,88
P032,"Keyboard 32",Home,200
P033,"Jacket 33",Sports,234
P034,"Running Shoes 34",Beauty,233
P035,"Hair Dryer 35",Home,207
P036,"Monitor 36",Home,169
P037,"Wireless Mouse 37",Electronics,13
P038,"Keyboard 38",Beauty,40
P039,"Blender 39",Home,74
P040,"Water Bottle 40",Home,66
P041,"Wireless Mouse 41",Beauty,37
P042,"Smart Watch 42",Clothing,286
P043,"Keyboard 43",Electronics,35
P044,"Smart Watch 44",Clothing,119
P045,"Perfume 45",Clothing,270
P046,"Monitor 46",Home,95
P047,"USB Cable 47",Sports,278
P048,"Yoga Mat 48",Sports,211
P049,"T Shirt 49",Home,57
P050,"USB Cable 50",Home,235
P051,"Jacket 51",Sports,106
P052,"Laptop Stand 52",Home,287
P053,"Yoga Mat 53",Clothing,138
P054,"Vacuum Cleaner 54",Clothing,187
P055,"Monitor 55",Sports,41
P056,"Face Cream 56",Sports,73
P057,"Keyboard 57",Sports,217
P058,"Keyboard 58",Electronics,31
P059,"Perfume 59",Home,235
P060,"Wireless Mouse 60",Sports,53
P061,"Wireless Mouse 61",Electronics,203
P062,"Yoga Mat 62",Clothing,213
P063,"Jacket 63",Beauty,11
P064,"Vacuum Cleaner 64",Sports,136
P065,"USB Cable 65",Beauty,76
P066,"Jacket 66",Sports,45
P067,"Face Cream 67",Home,107
P068,"Water Bottle 68",Sports,26
P069,"USB Cable 69",Home,165
P070,"T Shirt 70",Electronics,254
P071,"Water Bottle 71",Clothing,61
P072,"Laptop Stand 72",Sports,202
P073,"Water Bottle 73",Sports,270
P074,"Jeans 74",Sports,35
P075,"Blender 75",Clothing,51
P076,"Backpack 76",Electronics,219
P077,"Perfume 77",Clothing,152
P078,"USB Cable 78",Beauty,197
P079,"Vacuum Cleaner 79",Beauty,290
P080,"Blender 80",Electronics,21
